InventoryId,AutoInventoryId,StateInventoryNum,State_ID,State_Name,Region_ID,RegionName,InventoryName,ManufacturerName,Model,SerialNumber,RetailCost,CostPaid,PurchaseDate,Status,Active,DueDate,Location,Description,DeviceCategory,SubCategory,CurrentDevLoan_ID,LendingFee,DoNotCheckout
ad174fec-26e1-463d-a956-c97161cba369,15-IN-10124,,15,Hawaii,,,Easy Cut Scissors,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
4ae2626f-305c-47eb-b754-99edaaedef91,15-IN-10053,,15,Hawaii,,,Easy Grip Gardening Hoe,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
cab01330-ea08-4d35-a62a-9a485910157b,15-IN-10054,,15,Hawaii,,,Easy Grip Gardening Rake,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
529f6fc2-7520-46e1-aa3b-37625ae6b971,15-IN-10129,,15,Hawaii,,,Easy Reader Book Stand,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
4c413d23-93b5-4a03-9010-1dbe5d74ce45,15-IN-10052,,15,Hawaii,,,Elongated Scrubbers,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
3e2e3da7-0548-4c5b-9e33-4bed84227b9e,15-IN-10142,,15,Hawaii,,,Ergonomic Mouse,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
d0722d93-4ea9-463e-8c5f-75b0af0ff79a,15-IN-10118,,15,Hawaii,,,Ergonomic Pen,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
bd7d950d-df27-4db0-b202-25947a661a4f,15-IN-10141,,15,Hawaii,,,Ergonomic Roller Ball Mouse,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
833ac5a1-f6d8-4482-a157-4267d548bb1b,15-IN-10127,,15,Hawaii,,,Ergorest,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
2080cf67-02d8-4262-9db0-0ba4d8c7bab3,15-IN-10203,,15,Hawaii,,,ESCHENBACH MAXTV Magnifying Glasses,Eschenbach,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
d1e499b9-4485-4b9e-9606-00f1c6c0e5fe,15-IN-10238,,15,Hawaii,,,ESCHENBACH SmartLux,Eschenbach,Smartlux Digital Portable Video Magnifier,,650.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
97c0fafb-9eab-422d-9f64-7349ae9a6a20,15-IN-10090,,15,Hawaii,,,Fentone Cord,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Hearing,,,,False
a226fb08-9d6f-4d8d-baf4-9388a6e46818,15-IN-10104,,15,Hawaii,,,FRANKLIN Language Master,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Learning, Cognition and Development",,,,False
aeed47d6-4437-42a4-b509-5598802da696,15-IN-10178,,15,Hawaii,,,FREEDOM SCIENTIFIC Eye Pal Ace Plus,Freedom Scientific,Eye-Pal Ace Plus,,2995.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
a4180f93-a704-42ed-8642-c1c2247eb14a,15-IN-10179,,15,Hawaii,,,FREEDOM SCIENTIFIC Jaws Screenreader 15,Freedom Scientific,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
5015f49f-536e-4ab5-a659-cdb62cb33cb4,15-IN-10180,,15,Hawaii,,,FREEDOM SCIENTIFIC Jaws Screenreader 15,Freedom Scientific,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
e9d6b568-4d2c-4d29-b14b-9131e88725f0,15-IN-10181,,15,Hawaii,,,FREEDOM SCIENTIFIC Jaws Screenreader 15,Freedom Scientific,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
2d6689be-78ba-4ad2-a226-2e1f8f4b789e,15-IN-10182,,15,Hawaii,,,FREEDOM SCIENTIFIC Jaws Screenreader 16,Freedom Scientific,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
6e6ae8a4-41b8-4094-9261-3d195502638e,15-IN-10209,,15,Hawaii,,,FREEDOM SCIENTIFIC Pearl,Freedom Scientific,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
3e9d090b-5f3d-4a9b-9ae4-a8fc96a9fdb7,15-IN-10174,,15,Hawaii,,,FREEDOM SCIENTIFIC Ruby,Freedom Scientific,Ruby,,545.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
0d2c7a17-446d-4c9b-b39e-3da903c4835a,15-IN-10175,,15,Hawaii,,,FREEDOM SCIENTIFIC Ruby HD,Freedom Scientific,Ruby HD,,645.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
353352bf-e8ae-4312-9049-c5f717ac3330,15-IN-10176,,15,Hawaii,,,FREEDOM SCIENTIFIC Ruby XL HD,Freedom Scientific,Ruby XL HD,,895.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
39c15984-f35d-4df9-bde3-c9dc39d38b3a,15-IN-10177,,15,Hawaii,,,FREEDOM SCIENTIFIC Topaz PHD,Freedom Scientific,Topaz PHD,,2095.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
b6cb8695-c182-42d1-a57e-a8a7052b538e,15-IN-10151,,15,Hawaii,,,GENERIC Analog Headset,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Computers and Related,,,,False
c53aba1b-8a20-452c-89bf-2a4477d37364,15-IN-10125,,15,Hawaii,,,Generic Rubber Utensil Grip,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
9010d423-5991-45f1-8897-30086f8ce7a9,15-IN-10207,,15,Hawaii,,,Giant Address Book,Maxiaids,Giant Print Address Book,,16.9500,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
86d5912c-9a77-477d-acc6-d1e3a32f1734,15-IN-10136,,15,Hawaii,,,GOLDTOUCH Half-able Keyboard,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
776ea464-5d35-43c5-b07f-0c2632089fcd,15-IN-10022,,15,Hawaii,,,GOODLIVING Measuring Cup,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
57d5beac-bb5f-4e5a-bd49-b65ad6aab592,15-IN-10154,,15,Hawaii,,,GOOGLE Nexus 7,Google,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Computers and Related,,,,False
ef50c2a0-26d1-4fea-bfcd-6bfc482b9fa3,15-IN-10021,,15,Hawaii,,,Grabber,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
226b3875-304b-4fd8-b00a-9b4067c2e393,15-IN-10024,,15,Hawaii,,,GREATGRIPS Grips,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
f9eb1160-52cd-408d-ab28-a69d369f21c7,15-IN-10011,,15,Hawaii,,,Gumball Switch (Red),,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Speech Communication,,,,False
384a9c1d-9367-413d-85c4-080b5609b7b5,15-IN-10071,,15,Hawaii,,,HEARIT SE Voice Amplifier,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Hearing,,,,False
c9a90c51-c3ec-4a31-84ca-a42ce9e69a52,15-IN-10143,,15,Hawaii,,,Heavyweight Pen (right),,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
6dccf3d6-efc6-4972-a64e-895507cc21ab,15-IN-10060,,15,Hawaii,,,Helpathand Emergency Tel. Dialer,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
6b07abd4-10be-43f6-a52e-ae4dfda4f6af,15-IN-10137,,15,Hawaii,,,HENRI BEDEL Roll-Up Keyboard,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
9514fe41-5909-43ce-bcaa-9b9a7368c6e6,15-IN-10200,,15,Hawaii,,,HIMS Braille Sense,HIMS,Braille Sense U2,,5595.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
3872577d-2f77-46f2-ac0c-fca63eb4e7af,15-IN-10170,,15,Hawaii,,,Humanware Explore 5,Humanware,Explore 5,,749.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
